word,size
wrestler,25
migrant,25
nato,25
kindof,25
coalition,25
happend,25
cyberpunk,25
treaty,25
parliament,25
democratically,25
deport,25
spacetime,25
louis,25
mandarin,25
gdp,25
export,25
diffrent,25
patriotic,25
disallow,25
intelligible,25
funner,25
ada,25
di,25
pag,25
overpay,25
picard,25
inhibitor,25
admiral,25
intution,25
helpdesk,25
interpretive,25
reactivity,25
objectivism,25
photogenic,25
raymond,25
daoism,25
quarterly,25
psychotherapy,25
sequential,25
doctoral,25